Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName
Jake Eshel,M,SBD,Raw,20.5,20-23,19-23,MR-Jr,70.6,74,150.0,160.0,-165.0,,160.0,95.0,100.0,102.5,,102.5,200.0,205.0,-210.0,,205.0,467.5,4,349.1,348.07,337.2,70.34,Yes,USA,AZ,USAPL,IPF,27/4/2019,USA,AZ,,AZ State Championship
Leigh Boone,F,SBD,Raw,35.5,35-39,24-39,FR-O,84.7,84+,110.0,115.0,-120.0,,115.0,65.0,70.0,72.5,,72.5,130.0,137.5,142.5,,142.5,330.0,1,302.46,293.07,256.06,62.12,Yes,USA,WA,USAPL,IPF,16/9/2017,USA,WA,Spokane,Spokane Open
Katlin Walters,F,B,Raw,,,,Class 3A,75.3,76.6,,,,,,63.5,68.04,72.57,,72.57,,,,,,72.57,13,70.53,68.82,60.52,55.92,Yes,,,FHSAA,,10/2/2022,USA,FL,Port St. Joe,Girls Weightlifting State Championships
Vladislav Dolgopolov,M,B,Raw,22.5,20-23,19-23,Pro Juniors 20-23,79.45,82.5,,,,,,-130.0,-130.0,130.0,,130.0,,,,,,130.0,2,90.01,89.14,85.92,66.79,,Russia,,WPC-RUS,WPC,1/8/2014,Russia,MOW,Moscow,Moscow Cup
Ján Cuprišin,M,D,Multi-ply,47.0,45-49,40-49,Masters 40-49,87.3,90,,,,,,,,,,,222.5,232.5,242.5,250.0,242.5,242.5,1,159.28,157.3,150.96,,,Slovakia,,XPC-Poland,XPC,19/11/2021,Poland,,Siedlce,World Cup
Jimmy Häll,M,SBD,Single-ply,25.5,24-34,24-39,Open,99.85,100,,,,,275.0,,,,,180.0,,,,,267.5,722.5,3,445.0,439.97,420.23,75.61,Yes,Canada,AB,CPU,IPF,26/2/2000,Canada,SK,Moose Jaw,Nationals
Kimberly Chancellor,F,SBD,Single-ply,,,,Girls,113.04,117.7,,,,,77.11,,,,,45.36,,,,,90.72,213.19,7,174.17,172.38,146.55,30.54,Yes,,,THSWPA,,21/1/2017,USA,TX,Lake Belton Middle School,Belton Tiger Invitational
Rebecca Simpson,F,SBD,Single-ply,17.5,18-19,14-18,Girls,87.82,90,,,,,195.04,,,,,90.72,,,,,181.44,467.2,1,421.11,407.97,355.4,72.24,Yes,,,THSWPA,,24/2/2016,USA,TX,Mertzon,Region 1 Division 3
梶原 優花,F,SBD,Raw,19.5,20-23,19-23,Juniors,70.55,72,110.0,120.0,-125.0,,120.0,40.0,45.0,50.0,,50.0,80.0,90.0,100.0,,100.0,270.0,1,271.85,267.17,235.46,55.26,Yes,,,JPA,IPF,13/4/2019,Japan,,,Tokyo Spring Powerlifting Championships
Monique Covarrubias,F,SBD,Single-ply,,16-17,,Girls,50.21,51.9,,,,,86.18,,,,,36.29,,,,,108.86,231.33,8,289.0,296.23,262.98,48.28,Yes,,,THSWPA,,4/2/2016,USA,TX,Holy Cross Gym,TSS Invitational 5
Vincent Mastino,M,SBD,Raw,19.5,20-23,19-23,MR-C,104.8,105,185.0,197.5,205.0,,205.0,130.0,137.5,142.5,,142.5,187.5,200.0,212.5,,212.5,560.0,4,337.99,334.85,319.75,69.2,Yes,USA,CT,USAPL,,20/11/2021,USA,CT,,Northeast Collegiate Showdown
Sławomir Golonka,M,B,Raw,25.0,24-34,24-39,Open,81.53,83,,,,,,,,,,160.0,,,,,,160.0,7,109.12,107.95,103.93,81.11,,Poland,,Poland-UA,,12/8/2019,Poland,,Łódź,International Benchpress League
Brie Baldwin,F,SBD,Single-ply,,,,Girls,105.19,117.7,,,,,92.99,,,,,40.82,,,,,117.93,251.74,1,210.78,206.77,176.45,36.73,Yes,,,THSWPA,,11/2/2021,USA,TX,Independence,Indpendence Meet
Magomedamin Israpilov,M,SBD,Wraps,43.0,40-44,40-49,Amateur Masters 40-49,108.0,110,210.0,225.0,235.0,,235.0,150.0,165.0,-167.5,,165.0,200.0,210.0,-215.0,,210.0,610.0,1,363.82,361.06,344.92,74.34,Yes,Russia,,WRPF,WRPF,8/9/2018,Russia,STA,Stavropol,Cup of St. George
Artyom Brazhuk,M,B,Raw,29.0,24-34,24-39,Open,94.0,100,,,,,,-180.0,180.0,-185.0,,180.0,,,,,,180.0,2,113.94,112.51,107.64,84.95,,,,RPU,,21/12/2019,Russia,PRI,Artyom,Far East Championships
Alex Richardson,M,SBD,Single-ply,23.5,24-34,24-39,Open,104.5,110,-160.0,170.0,185.0,,185.0,155.0,165.0,172.5,,172.5,220.0,240.0,250.0,,250.0,607.5,1,367.09,363.63,347.22,62.23,Yes,,,NZPF,IPF,15/12/2007,New Zealand,WGN,Wellington,Bledisbro Open
Nia Cassandra Rodriguez,F,B,Raw,29.0,24-34,24-39,F_OCR_APF,74.55,75,,,,,,110.0,115.0,117.5,,117.5,,,,,,117.5,1,114.81,112.12,98.65,90.85,,,,APF,WPC,11/6/2021,USA,FL,Ft Lauderdale,National Championships
工藤 瑛士,M,SBD,Raw,17.5,18-19,14-18,Sub-Juniors,71.5,74,-145.0,145.0,-157.5,,145.0,85.0,90.0,-92.5,,90.0,170.0,-180.0,-185.0,,170.0,405.0,2,299.83,298.69,289.2,60.53,Yes,,,JPA,IPF,25/2/2017,Japan,,Okazaki,Japanese Classic Powerlifting Championships
Nikita Filin,M,D,Raw,18.0,18-19,14-18,Teen 18-19,80.1,82.5,,,,,,,,,,,130.0,150.0,170.0,,170.0,170.0,2,117.14,115.97,111.73,,Yes,,,RPU,,27/12/2015,Russia,LEN,St. Petersburg,Battle of the Neva
Janne Hakanen,M,SBD,Single-ply,13.5,13-15,14-18,Open,60.0,60,,,,,170.0,,,,,105.0,,,,,177.5,452.5,1,381.93,385.93,376.86,65.03,Yes,,,SVNL,IPF,20/10/1990,Finland,,Salo,Nuorten 20 v. voimanoston SM-kisat
Kolbjørn Bjørnstad,M,B,Single-ply,,20-23,19-23,Juniors 19-23,89.5,90,,,,,,140.0,-150.0,-160.0,,140.0,,,,,,140.0,4,90.78,89.63,85.92,47.39,Yes,,,NSF,IPF,28/3/2010,Norway,,Askim,NM Benkpress
Andrew Bennett #2,M,SBD,Raw,,,40-49,Masters 1,118.0,120,,,,,230.0,,,,,150.0,,,,,270.0,650.0,1,375.42,375.2,359.44,76.12,Yes,Canada,ON,CPU,IPF,18/8/2017,Canada,QC,Quebec City,Central Canadian Championship
Oleg Larionov,M,B,Raw,41.0,40-44,40-49,Masters 40-44,136.5,140,,,,,,210.0,-230.0,235.0,,235.0,,,,,,235.0,1,129.71,131.83,125.53,94.04,,Russia,,GPA,GPA,6/11/2015,Russia,MOW,Moscow,Eastern European Cup
Sidney Thoms,F,B,Multi-ply,53.0,50-54,50-59,F_MEM_3_APF,114.4,90+,,,,,,140.0,-160.0,160.0,,160.0,,,,,,160.0,1,130.22,129.07,109.66,76.4,,USA,IL,APF,WPC,28/4/2007,USA,IL,Willowbrook,Windy City Open
Ayanna Rangel,F,SBD,Single-ply,,,,Girls,57.88,60.1,,,,,124.74,,,,,56.7,,,,,133.81,315.25,8,357.6,361.45,319.53,59.85,Yes,,,THSWPA,,9/2/2019,USA,TX,Weslaco Texas,Weslaco High School Powerlifting Meet
Conrad Weeks,M,SD,Raw,17.5,18-19,14-18,MR-T2,73.1,74,,,,,112.5,,,,,,,,,,137.5,250.0,3,182.37,181.41,175.48,,Yes,,,USAPL,IPF,28/2/2015,USA,WA,,Pirates Powerlifting Championship
Jeremy Martin,M,B,Raw,,,,Open,121.11,125,,,,,,,,,,219.99,,,,,,219.99,1,125.96,126.21,120.94,92.45,,,,SPF,,13/7/2019,USA,AR,,Arkansas Strength Expo
František Makranský,M,B,Raw,,50-54,50-59,M3,116.55,125,,,,,,150.0,160.0,,,160.0,,,,,,160.0,1,92.8,92.64,88.72,68.36,,Slovakia,,GPC,GPC,14/5/2012,Slovenia,,Bled,European Championships
Ben Pedersen,M,SBD,Raw,20.5,20-23,19-23,MR-Jr,91.3,93,,,,,206.4,,,,,142.9,,,,,265.4,614.7,1,394.63,389.61,373.18,81.14,Yes,USA,,USAPL,IPF,17/1/2015,USA,IA,,Iowa Open
Blake Hudak,M,SBD,Single-ply,16.0,16-17,14-18,Junior Varsity,65.23,65.7,-136.08,136.08,-147.42,,136.08,83.91,88.45,-92.99,,88.45,147.42,-170.1,-170.1,,147.42,371.95,10,293.99,294.9,286.72,50.24,,,,MHSPLA,,17/3/2006,USA,MI,Goodrich,State Championships
Eleanor Kaley,F,SBD,Raw,17.5,18-19,14-18,FR-O,66.94,69,120.0,132.5,142.5,,142.5,50.0,62.5,65.0,,65.0,120.0,135.0,140.0,,140.0,347.5,2,360.49,356.8,314.79,73.25,Yes,USA,NC,USAPL,IPF,10/7/2021,USA,NC,,North Carolina State Championship
Rachel Mendoza,F,SBD,Single-ply,18.5,18-19,19-23,Girls,57.88,60.1,,,,,136.08,,,,,77.11,,,,,142.88,356.07,1,403.9,408.26,360.9,67.6,Yes,USA,,THSWPA,,3/3/2017,USA,TX,Mertzon,Girls Region 1 Division 3
Brett Stepanik,M,SBD,Wraps,30.0,24-34,24-39,MOR,101.0,110,87.5,102.5,105.0,,105.0,-52.5,55.0,-62.5,,55.0,105.0,112.5,125.0,,125.0,285.0,1,174.67,172.77,164.99,35.83,,,,UPA,,19/4/2019,USA,OH,Brook Park,Spring Classic
Abby Garcia,F,SBD,Single-ply,,13-15,,Girls,51.89,51.9,,,,,102.06,,,,,,,,,,,,DQ,,,,,Yes,,,THSWPA,,13/2/2016,USA,TX,Karnes City,Karnes City Invitational Girls
Tatyana Solonenko,F,SBD,Raw,31.0,24-34,24-39,Amateur Open,55.6,56,85.0,90.0,-95.0,,90.0,50.0,-55.0,55.0,,55.0,105.0,-112.5,-112.5,,105.0,250.0,3,291.16,295.81,261.69,59.77,Yes,Russia,,IPA,,30/5/2012,Russia,KDA,Sochi,World Championships
Jan Binko,M,B,Raw,36.5,35-39,24-39,Open,103.1,105,,,,,,190.0,195.0,200.0,,200.0,,,,,,200.0,1,121.52,120.3,114.87,90.32,Yes,,,CSST,IPF,24/1/2015,Czechia,,Frýdlant,Mistrovství ČR v Klasickém Benčpresu Dorostu Juniorů Mužů a Žen
Roman Reisch,M,SBD,Wraps,43.0,40-44,40-49,M 40-44,125.4,140,-190.0,-200.0,200.0,,200.0,137.5,-142.5,-142.5,,137.5,190.0,205.0,-212.5,,205.0,542.5,2,307.16,308.94,295.56,61.88,,Germany,,UPC-Germany,UPC,8/3/2018,Germany,SN,Eilenburg,Deutsche Meisterschaft
Austin Erickson,M,SBD,Raw,18.0,18-19,,M_TR_3_AAPF,66.3,67.5,107.5,110.0,-115.0,,110.0,-82.5,82.5,-85.0,,82.5,160.0,167.5,-170.0,,167.5,360.0,8,281.13,281.62,273.6,55.98,Yes,USA,,APF,WPC,13/12/2015,USA,IL,,Illinois Raw Power Challenge
Yuriy Krivovyazyuk,M,SBD,Single-ply,24.5,24-34,24-39,Open,82.5,82.5,-240.0,-240.0,,,,140.0,-147.5,-147.5,,140.0,-220.0,,,,,,DQ,,,,,Yes,,,UkrainePF,IPF,9/10/1994,Ukraine,,Kamenetz-Podolsky,Ukrainian Powerlifting Cup
Torsten Westh,M,SB,Single-ply,42.5,40-44,40-49,Open,99.5,100,,,,,225.0,,,,,155.0,,,,,,,DQ,,,,,Yes,Denmark,,DSF,IPF,1/10/2005,Denmark,,Aarhus,JM
Tin Nguyen,M,SBD,Raw,17.5,18-19,14-18,MR-V,82.42,83,170.0,180.0,-185.0,,180.0,90.0,95.0,-97.5,,95.0,170.0,180.0,190.0,,190.0,465.0,4,315.16,311.69,299.92,64.6,Yes,USA,MA,USAPL,IPF,1/3/2020,USA,MA,,10th Annual Ryan Moore New England States High School Championships
Aleksandr Venzhega,M,SBD,Single-ply,54.5,50-54,50-59,Masters 2,59.95,60,70.0,90.0,95.0,,95.0,60.0,-70.0,75.0,,75.0,100.0,115.0,130.0,,130.0,300.0,1,253.39,256.06,250.05,43.14,Yes,,,UkrainePF,IPF,19/5/2001,Ukraine,,Yalta,Ukrainian Masters Powerlifting Championships
Nellie Dunlap,F,SBD,Raw,15.5,16-17,14-18,FR-T2,62.19,63,81.7,86.2,-90.7,,86.2,40.8,45.4,-49.9,,45.4,97.5,102.1,111.1,,111.1,242.7,5,263.1,263.22,232.47,53.55,Yes,USA,WI,USAPL,IPF,16/10/2021,USA,WI,,Spartan Raw Fall Brawl
Regan Taylor,F,SBD,Single-ply,,,,Girls,59.15,60.1,,,,,83.91,,,,,43.09,,,,,95.25,222.26,4,248.63,250.56,221.42,41.64,Yes,,,THSWPA,,18/1/2018,USA,TX,Alvord,Alvord Bulldog Annual
Jessica Best,F,SBD,Raw,,,,Open,55.4,57,,,,,105.0,,,,,65.0,,,,,150.0,320.0,1,373.58,379.71,335.94,76.72,Yes,Canada,NL,CPU,IPF,26/6/2015,Canada,NL,St. John's,Newfoundland Provincials
Natalya Sayfulina,F,D,Raw,37.0,35-39,24-39,Amateur Open,65.9,67.5,,,,,,,,,,,130.0,140.0,-150.0,,140.0,140.0,2,146.57,145.39,128.31,,Yes,Russia,,WRPF,WRPF,4/12/2019,Russia,MOW,Moscow,World Championships
Daniil Kildyushkin,M,B,Raw,24.0,24-34,24-39,Amateur Open,122.9,125,,,,,,182.5,-192.5,202.5,,202.5,,,,,,202.5,4,115.39,115.8,110.93,84.57,Yes,Russia,,WRPF,WRPF,16/12/2021,Russia,MOW,Moscow,World Championships
Arne Sønsteby,M,SBD,Wraps,,,,Open,61.3,67.5,,,,,135.0,,,,,87.5,,,,,195.0,417.5,2,346.31,349.25,340.65,67.69,Yes,,,NSF,IPF,21/12/1974,Norway,,Brumunddal,Klubbstevne
Ashley Fragola,F,SBD,Raw,24.5,24-34,24-39,FR-O,55.9,57,60.0,75.0,-80.0,,75.0,30.0,32.5,-40.0,,32.5,85.0,97.5,105.0,,105.0,212.5,2,246.6,250.38,221.48,50.59,Yes,USA,NH,USAPL,IPF,28/4/2018,USA,NH,,New Hampshire State Championships
Kelly Phasey,F,SBD,Raw,45.0,45-49,40-49,FR-M1,83.1,84,117.5,125.0,132.5,,132.5,60.0,67.5,72.5,,72.5,137.5,150.0,160.0,,160.0,365.0,1,337.59,327.26,286.32,69.22,Yes,England,WM,EPA,IPF,4/12/2021,England,,,All Midlands Masters
Georgiy Gvozdev,M,B,Raw,58.0,55-59,50-59,Pro Masters 50-59,80.6,82.5,,,,,,110.0,112.5,-115.0,,112.5,,,,,,112.5,1,77.23,76.44,73.63,57.37,,Russia,,WRPF,WRPF,24/3/2018,Russia,,Yaroslavl,Russian Championships
Sergey Zmiev,M,B,Raw,38.0,35-39,24-39,Amateur Open,102.2,110,,,,,,135.0,147.5,-150.0,,147.5,,,,,,147.5,4,89.95,89.01,85.0,66.88,,,,WRPF,WRPF,13/5/2017,Russia,,Kurgan,Kurgan Championship
Egil Berli-Johnsen,M,SBD,Single-ply,,,,Open,95.5,100,,,,,190.0,,,,,140.0,,,,,210.0,540.0,1,339.3,335.1,320.43,57.77,Yes,,,NSF,IPF,8/4/2005,Norway,,Fræna,Klubbstevne
Jerry Obradovich,M,SBD,Multi-ply,34.5,24-34,24-39,Pro Open,126.1,140,-340.19,-340.19,340.19,,340.19,238.14,272.16,-290.3,,272.16,272.16,303.91,-317.51,,303.91,916.26,3,517.87,521.21,498.69,86.94,,USA,,IPA,,18/4/2009,USA,OH,Columbus,Ironhouse Classic
Bilal Khan,M,SBD,Single-ply,,,,Open,74.4,75,,,,,125.0,,,,,127.5,,,,,190.0,442.5,1,319.1,317.09,306.49,54.65,Yes,Canada,ON,CPU,IPF,24/1/2009,Canada,ON,St. Catharines,Niagara Open
Ryan Yoder,M,SBD,Raw,29.5,24-34,24-39,MR-O,84.1,93,142.5,152.5,160.0,,160.0,110.0,125.0,127.5,,127.5,170.0,180.0,185.0,,185.0,472.5,4,316.65,312.97,300.87,64.97,Yes,USA,DE,USAPL,IPF,8/4/2018,USA,DE,,Delaware State Championship
Cydney Morgan,F,SBD,Single-ply,,18-19,,Girls,81.47,82.3,,,,,158.76,,,,,77.11,,,,,149.69,385.55,1,360.03,349.29,305.99,61.39,Yes,,,THSWPA,,16/2/2019,USA,TX,Stephenville,Stephenville Invitational
Maryann Matt,F,SBD,Single-ply,,,,Girls,84.64,90,,,,,108.86,,,,,63.5,,,,,113.4,285.76,3,262.0,253.87,221.82,44.81,Yes,,,THSWPA,,29/1/2020,USA,TX,Saginaw,Saginaw Girls Meet
Mason Mitchell,M,SBD,Raw,16.5,16-17,14-18,MR-T2,87.2,93,170.0,-185.0,-192.5,,170.0,142.5,150.0,157.5,,157.5,175.0,185.0,197.5,,197.5,525.0,1,345.03,340.76,327.05,70.9,Yes,USA,WI,USAPL,IPF,6/3/2021,USA,WI,,Winneconne High School National Qualifier
井上 敦史,M,SBD,Single-ply,18.0,18-19,,Open,120.8,82.5+,185.0,-190.0,190.0,,190.0,-102.5,102.5,-107.5,,102.5,180.0,190.0,195.0,,195.0,487.5,3,279.36,279.85,268.17,46.99,Yes,,,JPA,IPF,4/8/2002,Japan,,Saitama,Japanese High School & Sub-Juniors Powerlifting Championships
Julian Hooks,M,SBD,Raw,27.5,24-34,24-39,MR-O,92.5,93,-240.0,240.0,-245.0,,240.0,165.0,-175.0,-175.0,,165.0,260.0,265.0,-275.0,,265.0,670.0,38,427.4,421.97,403.96,87.88,Yes,USA,FL,USAPL,IPF,13/10/2016,USA,GA,Atlanta,Raw Nationals
Oleg Fistican,M,D,Raw,43.5,40-44,40-49,M1,87.75,90,,,,,,,,,,,210.0,225.0,-227.5,,225.0,225.0,1,147.38,145.55,139.65,,,Moldova,,GPC,GPC,25/6/2017,Poland,,Biala Podlaska,European Championships
David Hays,M,B,Raw,57.5,55-59,50-59,MR-M,91.6,93,,,,,,115.0,122.5,135.0,,135.0,,,,,,135.0,1,86.53,85.43,81.81,64.53,Yes,USA,AL,USAPL,IPF,16/1/2021,USA,AL,,Barbells and Brews
Jani Niemelä,M,SBD,Raw,43.5,40-44,40-49,Over 40,92.46,93,190.0,200.0,-202.5,,200.0,125.0,-130.0,-130.0,,125.0,225.0,230.0,,,230.0,555.0,5,354.11,349.62,334.7,72.81,Yes,,,SVNL,IPF,19/11/2021,Finland,,Pornainen,Masters - klassisen voimanoston SM-kilpailu
Ayrat Fayzulin,M,B,Multi-ply,34.5,24-34,24-39,Amateur Open,88.0,90,,,,,,180.0,-190.0,-190.0,,180.0,,,,,,180.0,1,117.73,116.26,111.54,61.59,Yes,,,WPC-RUS,WPC,12/5/2007,Russia,,Pushkino,Flawless Victory
Terry Jacobs,M,SBD,Single-ply,56.0,55-59,50-59,M_MES_4_AAPF,88.85,90,227.5,250.0,-265.0,,250.0,150.0,-165.0,165.0,-175.0,165.0,200.0,230.0,250.0,,250.0,665.0,1,432.81,427.35,409.81,73.9,Yes,USA,,APF,WPC,12/4/2019,USA,SC,,Amateur Nationals
Ricky Stormes,M,SBD,Raw,28.5,24-34,24-39,MR-O,81.6,83,165.0,175.0,185.0,,185.0,115.0,122.5,127.5,,127.5,172.5,185.0,192.5,,192.5,505.0,2,344.23,340.55,327.84,70.51,Yes,USA,AZ,USAPL,IPF,28/1/2017,USA,AZ,,Arizona Winter High School Championships & Open
Ben Milne,M,SBD,Raw,,18-19,14-18,MR-Sj,72.4,74,140.0,147.5,155.0,,155.0,90.0,100.0,105.0,,105.0,160.0,172.5,180.0,,180.0,440.0,3,323.02,321.52,311.14,65.33,Yes,England,YNE,EPA,IPF,15/6/2019,England,,,Yorkshire North East Juniors
Denis Dedichenko,M,B,Raw,21.0,20-23,19-23,Pro Juniors 20-23,75.0,75,,,,,,-105.0,105.0,110.0,,110.0,,,,,,110.0,1,78.92,78.38,75.74,58.25,,,,WPC-RUS,WPC,16/11/2019,Russia,SAR,Saratov,Silver Barbell
Vijay Chandal,M,SBD,Wraps,,,,Open,86.24,90,,,,,220.0,,,,,,,,,,220.0,,DQ,,,,,,,,WRPF,WRPF,20/5/2017,India,,Bangalore,Indian National Championship
Joseph Bierly,M,SBD,Raw,22.5,20-23,19-23,MR-Jr,73.0,74,197.5,210.0,215.0,,215.0,105.0,112.5,115.0,,115.0,247.5,260.0,-262.5,,260.0,590.0,2,430.77,428.55,414.56,87.23,Yes,USA,NJ,USAPL,IPF,3/6/2017,USA,NJ,,New Jersey State Championships
